County,Violent crime,Murder and nonnegligent manslaughter,Rape,Robbery,Aggravated assault
Alameda,633,5,27,210,391
Butte,283,5,32,28,218
Contra Costa,332,8,28,89,207
El Dorado,173,4,8,47,94
Fresno,1082,14,38,102,928
Imperial,211,2,11,7,191
Kern,2864,29,244,433,2158
Kings,125,2,19,19,85
Los Angeles,5564,68,300,1443,3753
Madera,457,1,34,14,408
Marin,63,1,5,12,45
Merced,500,4,14,24,453
Monterey,258,5,36,36,194
Napa,69,0,11,7,51
Orange,247,2,21,213,269
Placer,183,3,28,13,139
Riverside,2924,37,37,179,692
Sacramento,2408,36,36,161,526
San Benito,33,0,7,2,24
San Bernardino,1503,27,115,115,1172
San Diego,1499,19,104,104,1161
San Joaquin,903,35,35,35,701
San Luis Obispo,181,5,26,16,145
San Mateo,324,3,71,62,188
Santa Barbara,232,2,17,26,187
Santa Clara,356,2,40,25,289
Santa Cruz,58,2,34,34,234
Shasta,386,4,41,41,307
Solano,109,1,18,18,77
Sonoma,49,1,45,45,36
Stanislaus,370,17,17,17,190
Sutter,93,4,4,4,59
Tulare,734,64,64,64,231
Ventura,159,5,25,25,111
Yolo,69,6,6,6,55
Yuba,204,5,21,21,141
Alpine,13,0,2,2,11
Amador,66,1,3,3,54
Calaveras,139,1,8,8,98
Colusa,26,0,4,4,14
Del Norte,84,2,11,11,53
Glenn,55,2,8,8,37
Humboldt,310,21,59,59,229
Inyo,60,1,3,3,47
Lake,193,3,19,19,150
Lassen,78,0,8,8,70
Mariposa,79,2,2,2,69
Mendocino,178,2,29,29,133
Modoc,31,0,1,1,28
Mono,25,0,0,0,22
Nevada,118,3,9,9,53
Plumas,128,0,2,2,103
Sierra,1,2,3,3,113
Siskiyou,70,2,2,2,1
Tehama,95,0,14,14,61
Trinity,61,5,12,12,67
Tuolumne,169,2,9,9,40
San Francisco, 670, 4, 37, 345, 284
