State/Region/County,Median Sales Price Sept. 2019,Price Change MTM%,Sales Change MTM%
Calif. Single-family homes,605680,-1.9,-4.7
Calif. Condo/Townhomes,460000,-1.7,-2.1
Los Angeles Metro Area,545000,0.0,-4.8
Central Coast,695000,-0.4,-10.4
Central Valley,340250,-0.8,-4.6
Inland Empire,385000,1.3,-4.6
San Francisco Bay Area,880000,-2.2,-3.5
Alameda,910000,0.5,-11.1
Contra Costa,656000,2.5,0.9
Marin,1360000,1.9,15.0
Napa,787500,12.7,15.2
San Francisco,1545000,-3.1,-5.0
San Mateo,1470000,4.9,-1.6
Santa Clara,1225000,2.9,-17.1
Solano,455000,-0.8,0.8
Sonoma,655750,-7.9,0.2
Los Angeles,663110,5.6,4.5
Orange,830000,2.5,0.6
Riverside,429540,2.5,3.4
San Bernardino,315000,0.0,0.6
San Diego,636750,-0.8,2.9
Ventura,659250,-0.5,-0.5
Monterey,658000,4.0,5.4
San Luis Obispo,655000,2.3,2.6
Santa Barbara,731500,1.6,8.1
Santa Cruz,795000,3.9,3.9
Fresno,296000,3.9,10.9
Glenn,266500,-1.3,17.1
Kern,257600,-3.6,18.5
Kings,258800,0.2,7.1
Madera,276500,-0.9,4.3
Merced,277250,-0.6,4.2
Placer,495000,-1.0,-24.8
Sacramento,385000,0.3,-1.2
San Benito,610410,1.0,-8.6
San Joaquin,385000,0.3,0.6
Stanislaus,332750,-1.0,21.9
Tulare,250000,-2.3,4.2
Amador,325000,0.0,-22.2
Butte,385750,-1.2,-11.3
Calaveras,330000,1.8,-8.9
Del Norte,282200,4.7,5.4
El Dorado,489900,6.7,8.7
Humboldt,380000,3.6,-2.9
Lake,270000,3.8,7.2
Lassen,180000,3.0,-10.0
Mariposa,318000,-1.6,5.0
Mendocino,407500,-1.8,-1.9
Mono,699750,-1.4,-2.9
Nevada,455000,-1.8,-43.4
Plumas,435000,10.1,-17.1
Shasta,280000,5.9,-19.1
Siskiyou,240000,1.7,11.6
Sutter,327500,0.0,12.9
Tehama,328500,6.1,1.5
Tuolumne,307000,0.5,1.1
Yolo,453500,1.3,-3.6
Yuba,305000,2.5,3.4
